real,imag
0.981909,-0.189351
0.840725,0.541462
0.23283,0.972517
-0.505194,0.863006
-0.962252,0.27216
-0.881921,-0.471397
-0.307394,-0.951582
0.440339,-0.897832
0.940929,-0.338604
0.911075,0.412241
0.365881,0.930662
-0.387285,0.92196
-0.921104,0.389317
-0.930767,-0.365613
-0.409007,-0.912531
0.34734,-0.937739
0.905175,-0.42504
0.943084,0.332553
0.437496,0.89922
-0.321318,0.946971
-0.894814,0.44644
-0.949528,-0.313682
-0.451922,-0.892057
0.309673,-0.950843
0.891015,-0.453973
0.950962,0.309309
0.452606,0.891711
-0.312589,0.949888
-0.894128,0.447812
-0.947586,-0.319502
-0.439564,-0.898211
0.33002,-0.943974
0.903866,-0.427815
0.938932,0.344101
0.412503,0.910956
-0.361683,0.932301
-0.919303,0.393551
-0.92388,-0.382683
-0.370872,-0.928684
0.406994,-0.913431
0.938833,-0.344371
0.900683,0.434476
0.313955,0.949438
-0.464958,0.885333
-0.960136,0.279532
-0.867046,-0.498228
-0.241027,-0.970518
0.534025,-0.845469
0.980125,-0.19838
0.820226,0.57204
0.151565,0.988447
-0.611901,0.790935
-0.994928,0.100593
-0.757209,-0.653173
-0.0455243,-0.998963
0.695351,-0.718671
0.999909,0.0135178
0.674962,0.737853
-0.0763371,0.997082
-0.780018,0.625757
-0.989773,-0.142651
-0.570781,-0.821103
0.21208,-0.977252
0.860281,-0.50982
0.958785,0.284132
0.442747,0.896646
-0.358195,0.933647
-0.929216,0.369536
-0.901141,-0.433526
-0.290285,-0.95694
0.509243,-0.860623
0.978713,-0.205235
0.811523,0.584321
0.114795,0.993389
-0.65759,0.753376
-0.999809,0.019557
-0.685852,-0.727741
0.0796824,-0.99682
0.793334,-0.608787
0.983315,0.181909
0.522221,0.85281
-0.285878,0.958266
-0.904521,0.426428
-0.920768,-0.390111
-0.321954,-0.946755
0.492898,-0.870087
0.977778,-0.209643
0.805713,0.592306
0.0906678,0.995881
-0.6862,0.727413
-0.99944,-0.0334537
-0.635282,-0.77228
0.160846,-0.98698
0.84812,-0.529804
0.957246,0.289275
0.411892,0.911233
-0.416168,0.909288
-0.959139,0.282937
-0.842538,-0.538638
-0.144833,-0.989456
0.653536,-0.756896
1,-4.31175e-14
0.65281,0.757522
-0.148627,0.988893
-0.847154,0.531348
-0.954686,-0.297616
-0.394256,-0.919
0.443091,-0.896477
0.969774,-0.244003
0.814036,0.580814
0.0837912,0.996483
-0.706293,0.70792
-0.996595,-0.0824536
-0.579565,-0.814926
0.250135,-0.968211
0.902178,-0.431365
0.910243,0.414075
0.266713,0.963776
-0.568653,0.822577
-0.995942,0.0899994
-0.706225,-0.707988
0.0934363,-0.995625
0.826159,-0.563437
0.96075,0.277415
0.397778,0.917482
-0.455084,0.890449
-0.976803,0.214141
-0.785269,-0.619154
-0.0186943,-0.999825
0.762196,-0.647346
0.983437,0.181249
0.480503,0.876993
-0.377451,0.926029
-0.95694,0.290285
-0.827776,-0.561058
-0.0838868,-0.996475
0.72299,-0.690859
0.991511,0.130019
0.519602,0.854409
-0.34158,0.939853
-0.947248,0.320501
-0.841555,-0.540171
-0.102119,-0.994772
0.714927,-0.699199
0.992135,0.12517
0.518045,0.855354
-0.349587,0.936904
-0.952024,0.306025
-0.829494,-0.558516
-0.0735646,-0.99729
0.73921,-0.673475
0.98599,0.166804
0.475703,0.879606
-0.40103,0.916065
-0.96921,0.246234
-0.789054,-0.614324
0.00201335,-0.999998
0.792107,-0.610383
0.967245,0.253846
0.389405,0.921067
-0.492648,0.870229
-0.990273,0.139139
-0.712711,-0.701458
0.124314,-0.992243
0.864214,-0.503124
0.92388,0.382683
0.254402,0.967099
-0.616742,0.787165
-0.999862,-0.0165854
-0.589521,-0.807753
0.290009,-0.957024
0.939064,-0.343741
0.838799,0.544441
0.0674439,0.997723
-0.758522,0.651647
-0.975954,-0.217979
-0.408307,-0.912845
0.488889,-0.872346
0.991869,-0.127262
0.69259,0.721332
-0.168411,0.985717
-0.893224,0.449611
-0.891624,-0.452777
-0.163022,-0.986623
0.699268,-0.71486
0.989841,0.142177
0.468943,0.883228
-0.437582,0.899178
-0.984564,0.175022
-0.720003,-0.693971
0.139614,-0.990206
0.88426,-0.466994
0.896094,0.443864
0.1634,0.98656
-0.705818,0.708394
-0.986995,-0.160751
